developer_id,developer_name
1,!CyberApex (SkagoGames)
2,!ReTigma Studio
3,"""Nieko"""
4,#12
5,#30A6D-S (Kuma)
6,#NVJOB
7,#PragmaBreak
8,#workshop
9,$mitE
10,&y
11,'What Day is it?' Games
12,((no-end-parens Studio
13,(STCG) Smoker The Car Game
14,(주)펀웨이브
15,+7 Software
16,+LIVE
17,"+Mpact Games, LLC."
18,+Umbrella
19,-
20,---
21,-D-BUG-
22,-Yodasaurus- Games
23,-yu-
24,-乌鸦男-
25,-菂-
26,.Cat
27,.M.Y.W.
28,.NetXCore
29,.ToNg
30,.dat
31,.ez Games
32,//commentout
33,0
34,0 Deer Soft
35,0-Game Studios
36,001
37,0068thTeam
38,007berd
39,01 Games
40,01 Studio
41,01010101
42,011 Games
43,021Workshop
44,027 Studios
45,02GAMES
46,07th Expansion
47,08 Games
48,08Night Games
49,0Bennyman
50,0Cube
51,0Dark&Nerdy
52,0_skailer_0
53,0_stamina
54,0ddarriCompany
55,0o0
56,0range
57,1 Flame Studio
58,1 Look Games
59,1 Poss Studio
60,1 Simple Game
61,1 head 2 skulls
62,1 w programmer
63,1.5 hp games
64,1.5次創作
65,1/13s
66,10 Chambers
67,10 games studios
68,10-2 Knees
69,100 Cats
70,100 Cozy Games
71,100 Creepy Tales
72,100 GAMES
73,100 Hidden Animals
74,100 Plus Games llc
75,100 Stones Interactive
76,100 Stories Tall
77,1000 Hugs Films
78,1000 Orks
79,1000-REKA
80,1001 Apps Studio
81,1001 Studio
82,100Hr Games
83,100th Coin
84,1010 Games
85,10101 Software
86,1013133 Simulations
87,101XP GAME STUDIOS
88,1029studio
89,1047 Games
90,107
91,1081GAMES
92,109 Below
93,10Loups Games
94,10ft Games
95,10n02 Software
96,10nstudio
97,10ravens s.r.o.
98,10th Art Studio
99,10tons Ltd
100,10x10 Room
101,11 bit studios
102,11000AD
103,1122 Industries
104,1122项目组
105,11PLANNING
106,11Sheep
107,12 East Games
108,12 Hit Combo
109,12 to 6 Studios LLC
110,122pxsheol
111,123 studio
112,125
113,127trbl
114,12B3
115,12Minus
116,12atan
117,12seven
118,12x1 Doze Por Um Studio
119,13 Candles Studio
120,13-lab
121,133 Games
122,1336 Studios
123,1337 & Senri AB
124,1337 Game Design
125,13AM Games
126,13TH Division
127,13kayas
128,14 Hours Productions
129,14Dimension Enterprise
130,14° East
131,15 St Germ
132,15 min or less inc
133,157 Game Studios
134,159 Studio
135,15pm
136,16 Bit Psych
137,16 Gears
138,16 Swans
139,160dev
140,16Naughts
