appid,developer_id
730,51378
578080,36277
570,51378
271590,41034
488824,50628
488822,50628
488821,50628
488823,50628
359550,50628
440,51378
105600,39815
252490,16030
4000,16030
1172470,40428
2358720,18333
292030,7739
1245620,17493
413150,9883
1091500,7739
553850,3740
1086940,27333
227300,41685
1174180,41032
1085660,7496
739630,26219
945360,22919
230410,12857
236390,18197
381210,5375
304930,44364
346110,46296
346110,22988
346110,14488
346110,51857
242760,14992
1097150,30945
218620,35045
252950,38594
892970,23165
1966720,54613
291550,6488
1938090,49941
1938090,39725
1938090,5352
1938090,21318
1938090,1443
1938090,44211
1938090,22850
1938090,12451
1938090,49815
322170,40847
367520,47712
221100,6670
444090,15613
322330,26366
2357570,6379
239140,48077
1623730,37986
960090,34257
1172620,39656
250900,33917
250900,14430
582010,7693
648800,40162
284160,5235
264710,50903
1203220,243
108600,48528
548430,19011
275850,21066
1118200,56648
374320,17493
377160,5654
1145360,46668
289070,16584
289070,3973
289070,3972
251570,48488
1063730,2583
2767030,33688
438100,51229
1794680,57118
238960,19937
394360,36547
1517290,11169
814380,17493
391540,57681
990080,4302
2073850,14821
1237970,40429
976730,364
976730,45197
976730,41404
976730,7496
976730,42103
1326470,14992
107410,6670
1238810,11169
700330,34614
698780,47914
632360,21634
433850,12118
261550,47418
255710,9788
1599340,44390
1551360,37885
49520,18751
49520,3973
49520,3972
1468810,59996
594650,10690
526870,9662
489830,5654
72850,5654
1144200,51177
1240440,364
1426210,20897
2995920,20896
294100,28843
1625450,11531
782330,56142
319630,11251
319630,16402
319630,16401
427520,53494
435150,27333
1222670,30834
477160,34332
268910,46206
1238840,11169
552520,50628
552520,40082
552520,50643
552520,50646
552520,50623
812140,50639
812140,50628
812140,50617
812140,50644
812140,50627
812140,50623
812140,50643
203160,10665
203160,14541
203160,16402
203160,34322
646570,30977
1782210,11531
393380,35238
52003,51378
12210,41034
12210,41036
444200,52538
518790,15719
552990,52538
534380,48077
588650,32507
270880,41685
813780,17089
813780,47511
813780,52973
813780,53427
813780,8213
1229490,3749
388520,49941
388520,3973
366842,49941
366842,3973
311210,49941
311210,3973
379720,56142
1332010,6567
1222140,38903
1172380,40429
48700,47418
262060,40032
1677740,42642
306130,54646
1057090,32302
508440,27286
240,51378
1962391,14095
281990,36547
1289310,57799
50100,16584
50100,3973
50100,3972
671860,43186
671860,51747
671860,48783
2139460,45530
714010,45568
1506830,14095
433340,32223
386360,49364
379430,52541
457140,26366
1818750,37870
883710,7693
362890,10596
244210,26761
397540,18751
1832640,25323
1868140,29407
2183900,42103
677620,89
2050650,7693
361420,46944
391220,10665
391220,14541
391220,16402
391220,16401
391220,34322
2379780,28349
1593500,42410
1593500,24325
1716740,5654
1222680,19001
2694490,19937
8870,23207
8870,51883
774171,57046
504230,29701
504230,15773
412020,490
1449560,490
582160,50628
220200,45304
524220,45310
524220,37776
220240,50630
323190,101
387990,4418
2074920,33030
632470,54387
1167630,50275
225540,4303
674940,27287
581320,33809
244850,25911
223470,41467
305620,21370
204360,48383
1721470,32039
2246340,7693
304390,50628
304390,50639
304390,50646
304390,6460
208650,41037
466240,53420
1151640,20054
219740,26366
304050,55907
1604030,46361
2195250,14095
2380512,14095
2380513,14095
2380511,14095
601150,7693
238320,39988
629760,50095
1046930,51378
899770,14682
2527500,931
2507950,47807
236850,36547
236850,36550
1942280,6384
686810,48008
1665460,25475
1361210,16276
219150,12488
2923300,44097
2923300,1661
2923300,34889
848450,50903
513710,18492
823130,27286
