appid,genre_id
730,3
730,13
578080,3
578080,4
578080,17
578080,13
570,3
570,28
570,13
271590,3
271590,4
488824,3
488822,3
488821,3
488823,3
359550,3
440,3
440,13
105600,3
105600,4
105600,16
105600,21
252490,3
252490,4
252490,16
252490,17
252490,21
4000,7
4000,16
4000,25
1172470,3
1172470,4
1172470,13
2358720,3
2358720,4
2358720,21
292030,21
1245620,3
1245620,21
413150,16
413150,21
413150,25
1091500,21
553850,3
1086940,4
1086940,21
1086940,28
227300,16
227300,25
1174180,3
1174180,4
1085660,3
1085660,4
1085660,13
739630,3
739630,16
739630,10
945360,7
230410,3
230410,21
230410,13
236390,3
236390,17
236390,25
236390,13
381210,3
304930,3
304930,4
304930,7
304930,16
304930,13
346110,3
346110,4
346110,16
346110,17
346110,21
242760,3
242760,4
242760,16
242760,25
1097150,3
1097150,7
1097150,16
1097150,17
1097150,27
218620,3
218620,21
252950,3
252950,16
252950,22
252950,27
892970,3
892970,4
892970,16
892970,21
892970,10
1966720,3
1966720,4
1966720,16
1966720,10
291550,3
291550,16
291550,13
1938090,3
322170,3
322170,16
367520,3
367520,4
367520,16
221100,3
221100,4
221100,17
444090,3
444090,4
444090,17
444090,28
444090,13
322330,3
322330,4
322330,16
322330,21
322330,25
322330,28
2357570,3
2357570,13
239140,3
239140,21
1623730,3
1623730,4
1623730,16
1623730,21
1623730,10
960090,28
1172620,3
1172620,4
250900,3
582010,3
648800,4
648800,16
648800,25
284160,22
284160,25
284160,10
264710,4
264710,16
1203220,3
1203220,4
1203220,17
108600,16
108600,21
108600,25
108600,10
548430,3
275850,3
275850,4
1118200,3
1118200,7
1118200,16
1118200,25
374320,3
377160,21
1145360,3
1145360,16
1145360,21
289070,28
251570,3
251570,4
251570,16
251570,21
251570,25
251570,28
1063730,3
1063730,4
1063730,17
1063730,21
2767030,3
2767030,13
438100,4
438100,7
438100,17
438100,25
438100,27
438100,13
438100,10
1794680,3
1794680,7
1794680,16
1794680,21
238960,3
238960,4
238960,16
238960,17
238960,21
238960,13
394360,25
394360,28
1517290,3
1517290,4
1517290,7
814380,3
814380,4
391540,16
391540,21
990080,3
990080,4
990080,21
2073850,3
2073850,13
1237970,3
976730,3
1326470,3
1326470,4
1326470,16
1326470,25
107410,3
107410,25
107410,28
1238810,3
700330,3
700330,13
698780,7
698780,13
698780,16
632360,3
632360,16
433850,3
433850,4
433850,13
433850,17
261550,3
261550,16
261550,21
261550,25
261550,28
255710,25
255710,28
1599340,3
1599340,4
1599340,17
1599340,21
1599340,13
1551360,3
1551360,4
1551360,22
1551360,25
1551360,27
49520,3
49520,21
1468810,3
1468810,4
1468810,16
1468810,21
1468810,25
594650,3
526870,4
526870,16
526870,25
526870,28
489830,21
72850,21
1144200,3
1144200,4
1144200,16
1240440,3
1240440,13
1426210,3
1426210,4
2995920,3
2995920,4
2995920,16
294100,16
294100,25
294100,28
1625450,3
1625450,4
1625450,13
1625450,16
782330,3
319630,3
319630,4
427520,7
427520,16
427520,25
427520,28
435150,4
435150,21
435150,28
1222670,4
1222670,7
1222670,25
1222670,13
477160,4
477160,7
477160,16
477160,25
268910,3
268910,16
1238840,3
1238840,17
552520,3
552520,4
812140,3
812140,4
812140,21
203160,3
203160,4
646570,16
646570,28
1782210,3
1782210,7
1782210,13
1782210,16
1782210,22
393380,3
393380,16
393380,17
393380,28
52003,3
12210,3
12210,4
444200,3
444200,17
444200,25
444200,28
444200,13
518790,4
518790,25
518790,27
552990,3
552990,17
552990,25
552990,28
552990,13
534380,3
534380,4
534380,21
588650,3
588650,4
588650,16
270880,16
270880,25
813780,28
1229490,3
1229490,16
1229490,10
388520,3
388520,4
366842,3
366842,4
311210,3
311210,4
379720,3
1332010,4
1332010,16
