appid,publisher_id
730,42461
578080,20913
570,42461
271590,33834
488824,41792
488822,41792
488821,41792
488823,41792
359550,41792
440,42461
105600,32816
252490,13061
4000,42461
1172470,11960
2358720,15100
292030,6353
1245620,14339
1245620,4087
413150,8051
1091500,6353
553850,31100
1086940,22407
227300,34357
1174180,33834
1085660,6146
739630,21443
945360,19091
230410,10472
236390,14982
381210,4419
304930,36568
346110,38207
346110,36635
242760,12225
218620,37535
252950,31771
892970,7887
1966720,45210
291550,41792
1938090,1298
322170,33691
367520,39380
221100,5472
444090,17640
322330,21575
2357570,5221
239140,39643
1623730,31229
960090,28027
1172620,44472
250900,27810
582010,6313
648800,3581
284160,4291
264710,42047
1203220,27579
108600,40060
548430,7887
275850,17482
1118200,38138
374320,14339
374320,4087
377160,4616
1145360,38530
289070,267
289070,3195
289070,3194
251570,40021
1063730,2143
2767030,27578
438100,42337
1794680,47386
238960,16513
394360,30027
1517290,11960
814380,1299
814380,14340
814380,49019
391540,47865
990080,43472
2073850,12086
1237970,11960
976730,44472
1326470,27727
107410,5472
1238810,11960
700330,28335
698780,39533
632360,15502
433850,9849
261550,39166
255710,30027
1599340,2143
1551360,44472
49520,267
49520,3195
49520,3194
1468810,49770
1468810,22912
594650,8737
526870,7887
489830,4616
72850,4616
1144200,42284
1240440,44472
1426210,11960
2995920,11960
294100,23647
1625450,9456
782330,4616
319630,37393
319630,13396
319630,13389
427520,44295
435150,22407
1222670,11960
477160,8841
268910,38129
1238840,11960
552520,41792
812140,41792
203160,8717
203160,13390
646570,25337
1782210,9456
393380,28906
52003,42461
12210,33834
444200,43461
518790,3474
552990,43461
534380,39643
588650,26564
270880,34357
813780,44472
1229490,27664
388520,1298
388520,3195
366842,1298
366842,3195
311210,1298
311210,3195
379720,4616
1332010,2511
1222140,32048
1172380,11960
48700,39166
262060,32997
1677740,35151
306130,4616
1057090,44472
508440,22370
240,42461
1962391,11960
281990,30027
1289310,47966
50100,267
50100,3195
50100,3194
671860,35562
2139460,37573
714010,37608
1506830,11960
433340,26329
386360,17640
379430,43466
379430,10000
457140,21575
1818750,43472
883710,6313
362890,8659
244210,21903
397540,267
1832640,27069
1868140,24110
2183900,13927
677620,87
2050650,6313
361420,38753
391220,8717
391220,13390
391220,13389
2379780,31157
1593500,31100
1716740,4616
1222680,11960
2694490,16513
8870,267
774171,46414
504230,24380
412020,10000
1449560,10000
582160,41792
220200,31600
524220,37393
220240,41792
323190,99
387990,3581
2074920,27036
632470,45027
1167630,41513
225540,37393
674940,22370
581320,13927
244850,21230
223470,34182
305620,17726
204360,39922
1721470,26168
2246340,6313
304390,41792
208650,43219
466240,44229
1151640,31100
219740,21575
304050,46320
1604030,38267
2195250,11960
2380512,11960
2380513,11960
2380511,11960
601150,6313
238320,32961
629760,41357
1046930,42461
899770,11990
2527500,18915
2527500,35820
2507950,40537
236850,30027
1942280,5227
686810,39587
1665460,20894
1361210,13280
219150,10324
2923300,36350
848450,42047
513710,19772
823130,22370
222880,27699
1313140,10324
211820,7532
552500,13280
1217060,11382
1407200,43461
594570,34385
594570,13390
594570,13389
546560,42461
376210,1520
1449850,20894
613100,14395
613100,31107
232090,41342
221380,44472
219990,8427
383870,29941
383870,6676
1643320,14895
1643320,34386
1643320,487
291480,24255
550650,42211
1142710,34385
1142710,13388
516750,2178
1943950,13156
286690,10000
460930,41792
761890,34922
646910,41792
570940,14339
570940,4087
233860,23206
1196590,6313
356190,43219
2835570,6506
1158310,30027
976310,43472
976310,43474
1366540,15269
635260,6770
397900,635
359320,14347
331470,37053
447040,41792
644560,30022
224260,22760
218230,9849
311690,10324
588430,4616
365590,41792
1818450,11632
268500,267
268500,13390
268500,13389
39210,37393
1454400,31155
223710,39515
203770,30027
335300,4087
335300,14339
703080,14347
766570,13641
