publisher_id,publisher_name
1,!ReTigma Studio
2,#30A6D-S (Kuma)
3,#PragmaBreak
4,$mitE
5,((no-end-parens Studio
6,(Mark Ainsworth)
7,(Myco)
8,(STCG) Smoker The Car Game
9,(none)
10,(주)펀웨이브
11,++Good Games
12,+7 Software
13,"+Mpact Games, LLC."
14,+Umbrella
15,-
16,--
17,---
18,-D-BUG-
19,-In.
20,-Yodasaurus- Games
21,-yu-
22,-乌鸦男-
23,-菂-
24,.
25,...
26,.Cat
27,.M.Y.W.
28,.NetXCore
29,.ToNg
30,.ez Games
31,.orphans
32,/shvspce/
33,0 Deer Soft
34,0-Game Studios
35,001
36,0068thTeam
37,007berd
38,01 Games
39,01 Studio
40,01010101
41,011 Games
42,021Workshop
43,027 Studios
44,02GAMES
45,072 Project
46,08Night Games
47,0Cube
48,0Dark&Nerdy
49,0UP GAMES
50,0_skailer_0
51,0_stamina
52,0ddarriCompany
53,0o0
54,0range
55,0x0 Game Studio
56,0x55
57,1 Flame Studio
58,1 Look Games
59,1 Poss Studio
60,1 Trait Danger
61,1 head 2 skulls
62,1 w programmer
63,1.5 hp games
64,1.5次創作
65,1/13s
66,10 Chambers
67,10 games studios
68,10-2 Knees
69,100 Cats
70,100 Cozy Games
71,100 Creepy Tales
72,100 GAMES
73,100 Plus Games llc
74,100 Stones Interactive
75,100 Stories Tall
76,100% Electronica
77,1000-REKA
78,1001 Apps Studio
79,1001 Studio
80,100Hr Games
81,100th Coin
82,1010 Games
83,10101 Software
84,1013133 Simulations
85,101XP
86,1029studio
87,1047 Games
88,107
89,1081GAMES
90,109 Below
91,10ft Games
92,10mg
93,10n02 Software
94,10nstudio
95,10ravens s.r.o.
96,10th Reality
97,10tons Ltd
98,10x10 Room
99,11 bit studios
100,11/10 games
101,110 Industries SA
102,11000AD
103,1122 Industries
104,1122项目组
105,11PLANNING
106,11Sheep
107,12 East Games
108,12 to 6 Studios LLC
109,123 studio
110,127trbl
111,12B3
112,12G
113,12Minus
114,13-lab
115,133 Games
116,1336 Studios
117,1337 Game Design
118,13AM Games
119,13AM Shipping Solutions
120,13TH Division
121,13kayas
122,14 Hours Productions
123,14BitsStudio
124,14Dimension Enterprise
125,157 Game Studios
126,16 Gears
127,16 Swans
128,160dev
129,16Naughts
130,16air
131,16bitarena.com
132,17-BIT
133,1704
134,171Dev
135,17Knight
136,17MOONKEYS
137,17Studio
138,180°
139,1812 Productions
140,18Light Game Ltd.
141,1917 Studios
142,1939 Games
143,1984pxls
144,1987 Studios
145,199 CENTS STUDIO
146,1999UEM
147,1BITDRAGON
148,1C Company
149,1C Online Games
150,1C-SoftClub
151,1DER Entertainment
152,1FOREVERS
153,1MB
154,1MP
155,1Monkey2Brains
156,1SiGn Games
157,1Thousand
158,1UP Factory
159,1UP Games
160,1UP games
161,1Wish Games
162,1actose
163,1bgame
164,1bit
165,1bit Games
166,1classydude
167,1day
168,1games.io
169,1kcal
170,1mPaCt' (JSD)
171,1ming益铭
172,1nstall
173,1st impact games
174,"1st-impact co.,Ltd."
175,"1st-impact co.,ltd."
176,1stone Games
177,1tempobro
178,1v1combat
179,2 Bad Design
180,2 Barrel Arts
181,2 Beards Games
182,2 Bit Determine
183,2 Cubs Studio
184,2 Devi LLC
185,2 FOR 2
186,2 Hit Studio
187,2 Igloos
188,2 Left Thumbs
189,2 Nerdy Nerds
190,2 Turn Studios
191,2 Zombie Games
192,2&30 Software
193,"2,000 Damage"
194,2.0 Studios
195,"20 Below Games, Inc"
196,20 Credit Studios
197,20 Watt Games
198,2000 Studio
199,202-N Studios
200,2024-NGame
201,2033Tech
202,2049VR
203,2054
204,207 Studios
205,2077 New World Game Studio
206,2080 Games
207,20Tab
208,20letpast
209,20th Century Fox Film Corporation
210,2112Games
211,2124 Publishing
212,21st Nostalgia
213,"2202GAMES,LLC"
214,221 Games
215,221GAMES
216,226GameStudio
217,23:23 Team
218,23bit
219,24 Caret Games
220,24 Entertainment
221,"24Frame,inc."
222,25 Crimson
223,255pixel Studios
224,2645Interactive
225,269th lab games softworks
226,26PM
227,26horses
228,26k
229,2816292563
230,29Ninja
231,29x
232,2:30 AM Studios
233,2A T.E.
234,2AAGames
235,2AM(熬夜工作室)
236,2Awesome Studio
237,2BAD GAMES
238,2BDev
239,2B_GAMES
240,2Beats
241,2Bit Couch Games
242,2Bit Studios
243,2Blocks
244,2Boone Games
245,2Brains Games
246,2Chance Projects
247,2D Digital studio
248,2D GAMES
249,2D Guys Games
250,2D Heroes
251,2D MMORPG Game
252,2D ROM
253,2DArray
254,2DGameMania
255,2D_猫
256,2Dimensions
257,2Dio
258,2Dog Games
259,2DragonsGames
260,2Dream
261,2E
262,2Eggs
263,2ForallGames
264,2Frogs Software
265,2GT
266,2Hyper
267,2K
268,2K Games
269,2KG GAMING
270,2KMAGIC STUDIO
271,2Kek Games Bilisim Teknolojileri Anonim Sirketi
272,2MAD Games
273,2MEDYA
274,2OO2
275,2P Games
276,2PGames
277,2PIXELS Games
278,2Pi Interactivee Pvt. Ltd.
279,2Play
280,2QFARM
281,2S Games
282,2SD
283,2Tall Inc.
284,2Z
285,2am_Project
286,2dragontails
287,2drp
288,2ev1l
289,2humanstudiowo
290,2kblater
291,2nd Best Games
292,2nd Studio
293,2ndBoss
294,2ndDimensionGhost
295,2ndUp Studios
296,2nek
297,2pt Interactive
298,2tainment
299,2tainment GmbH
300,2w Computer Systems
301,2weak
302,2x2 Games
303,2xDal
304,2xMilk
305,3 Core Studio
306,3 Feet From Gold Games
307,3 Fright
308,3 Gentle Giants
309,3 Gnomes Games
310,3 Halves Games
311,3 Sprockets
312,3 Wishes Games (PTY) LTD
313,3-Fold Games
314,3-Tricks
315,3.5Cats
